Feature,Importance
MIN,0.3176900799770188
TEMP,0.19077756325600764
DEWP,0.15943149759130124
MAX,0.11791709430583619
month_sin,0.0751704815348847
LATITUDE,0.06288313611827373
Solid_PRCP,0.024230015572607913
month_cos,0.020653779967973716
ELEVATION,0.013671998299071323
LONGITUDE,0.00597628160837588
SLP,0.0038609796031689493
STP,0.0016005180722490184
VISIB,0.0014963887602352551
MXSPD,0.0012799205805834205
is_Snow,0.0010235120729433647
is_Rain,0.0007540948671866402
is_Fog,0.0005552641692352977
PRCP,0.0005524798755845085
WDSP,0.0004749080650838569
is_Thunder,5.702378376656956e-09
is_Hail,0.0
is_Tornado,0.0
