Feature,Importance
MAX,0.2700977113396955
LONGITUDE,0.17059152074916306
LATITUDE,0.15298517684915328
ELEVATION,0.14352234017502694
MONTH,0.1110632963229894
MIN,0.04045288164999933
STP,0.03748111784483795
TEMP,0.01506087401639347
Solid_PRCP,0.01475844725860731
SLP,0.011910462250254914
VISIB,0.00902794313941475
DEWP,0.008129328708010065
MXSPD,0.006508278515283851
PRCP,0.003313150389950022
is_Rain,0.0023990589831615655
WDSP,0.0016948203328912901
is_Snow,0.0010035914751673242
is_Hail,0.0
is_Fog,0.0
is_Tornado,0.0
is_Thunder,0.0
