Feature,Importance
MIN,0.3264774226843847
MAX,0.23374528220307308
TEMP,0.12931686969554018
LATITUDE,0.07288105044963986
DEWP,0.06798164599784313
LONGITUDE,0.054190373841496976
ELEVATION,0.05106312588820714
STP,0.02008444415945543
SLP,0.01638758777877078
is_Snow,0.00925701249681077
MXSPD,0.005727171563720287
VISIB,0.005458043200323746
WDSP,0.0036759575587826513
PRCP,0.002056585232159844
is_Fog,0.0011611546751295685
is_Rain,0.0005089682550453233
is_Thunder,2.0371545408144448e-05
is_Hail,6.932774208488525e-06
is_Tornado,0.0
