Feature,Importance
MIN,0.27374918838249895
MAX,0.21788975403487768
TEMP,0.10589694140713159
MONTH,0.09537055648354395
DEWP,0.07316178461740076
LATITUDE,0.06969331524648496
ELEVATION,0.045651521344779136
LONGITUDE,0.043471312991369054
Solid_PRCP,0.023034778737155818
STP,0.01876475529965858
SLP,0.01166646952077856
is_Snow,0.008250920639888502
VISIB,0.0044857120632762985
MXSPD,0.003229082980028063
WDSP,0.002377662611278906
PRCP,0.0017504797048728464
is_Fog,0.0008560766314434768
is_Rain,0.0006880535201701273
is_Thunder,9.197248783293263e-06
is_Hail,2.4365345796247678e-06
is_Tornado,0.0
